Date,Time,RMSSD,Coverage,HF,LF
2024-03-06,03:25:00,96.814,1.005,1842.245,2274.181
2024-03-06,03:30:00,76.022,1.004,1065.349,543.483
2024-03-06,03:35:00,75.486,1.005,1090.155,752.492
2024-03-06,03:40:00,71.759,1.004,835.96,556.03
2024-03-06,03:45:00,71.779,1.003,897.212,1387.042
2024-03-06,03:50:00,74.529,1.003,1044.189,711.245
2024-03-06,03:55:00,106.434,0.926,2182.019,8704.692
2024-03-06,04:00:00,101.967,1.004,1519.64,2562.42
2024-03-06,04:05:00,83.145,1.006,1283.965,2101.949
2024-03-06,04:10:00,86.481,0.948,1138.989,4395.771
2024-03-06,04:15:00,72.647,1.003,730.168,3971.155
2024-03-06,04:20:00,74.593,0.992,828.489,1937.683
2024-03-06,04:25:00,71.198,0.902,684.522,3846.895
2024-03-06,04:30:00,61.049,1.005,613.573,765.207
2024-03-06,04:35:00,69.568,1.005,803.795,942.412
2024-03-06,04:40:00,66.684,1.003,795.504,1099.57
2024-03-06,04:45:00,67.256,1.004,656.017,616.281
2024-03-06,04:50:00,81.49,0.97,1131.515,3955.082
2024-03-06,04:55:00,88.778,1.005,1166.017,1752.467
2024-03-06,05:00:00,74.403,1.004,930.227,370.188
2024-03-06,05:05:00,80.968,1.004,1128.683,1271.018
2024-03-06,05:10:00,86.711,0.952,1108.201,1012.899
2024-03-06,05:15:00,99.449,1.005,1411.024,3226.533
2024-03-06,05:35:00,106.545,0.984,2005.433,3439.009
2024-03-06,05:40:00,106.193,0.969,1795.118,4566.934
2024-03-06,05:45:00,116.491,0.968,2196.981,4168.513
2024-03-06,05:50:00,97.377,0.944,1740.098,1889.504
2024-03-06,05:55:00,117.264,0.971,2220.779,3208.599
2024-03-06,06:00:00,110.381,1.008,2338.863,3424.802
2024-03-06,06:05:00,98.092,0.973,1599.701,2075.397
2024-03-06,06:10:00,109.065,0.992,1695.358,3925.664
2024-03-06,06:15:00,103.099,0.905,1312.494,5769.48
2024-03-06,06:20:00,105.383,0.957,1615.901,3035.887
2024-03-06,06:25:00,82.165,0.953,890.916,4456.124
2024-03-06,06:30:00,97.994,0.991,1259.066,7499.071
2024-03-06,06:35:00,108.926,0.907,2418.5,5513.76
2024-03-06,06:40:00,106.27,1.006,2061.229,1690.28
2024-03-06,06:45:00,88.622,0.959,1446.278,1670.176
2024-03-06,06:50:00,82.286,1.002,1176.891,824.036
2024-03-06,06:55:00,88.712,0.898,1168.63,2914.666
2024-03-06,07:00:00,79.542,0.704,341.581,1229.102
2024-03-06,07:05:00,85.961,0.939,987.791,4023.378
2024-03-06,07:10:00,79.863,0.7,692.17,1839.127
2024-03-06,07:15:00,101.755,0.904,1419.259,3129.77
2024-03-06,07:20:00,93.548,0.961,1513.359,3831.63
2024-03-06,07:25:00,104.745,1.006,1510.769,5321.876
2024-03-06,07:30:00,91.598,0.996,1200.706,1322.11
2024-03-06,07:35:00,77.269,0.832,620.242,4077.888
2024-03-06,07:40:00,78.336,0.986,671.747,3908.576
2024-03-06,07:45:00,87.178,0.987,1156.512,3048.508
2024-03-06,23:45:00,68.447,0.981,701.862,3431.574
2024-03-06,23:50:00,62.675,0.961,742.364,765.794
2024-03-06,23:55:00,63.654,1.003,693.968,518.231
2024-03-07,00:00:00,61.841,1.0,643.001,519.863
2024-03-07,00:05:00,64.775,1.003,712.227,749.671
